ilçe,kazanan parti,oy oranı,katilim oranı,kullanilan oy,geçerli oy,seçmen sayısı,geçersiz oy,geçersiz oranı
adalar,CHP,"44,10%","%81,70",10301,9977,12608,324,3.15
arnavutkoy,AK Parti,"57,73%","%84,63",146440,137620,173036,8820,6.02
atasehir,CHP,"51,39%","%85,39",258967,251594,303273,7373,2.85
avcilar,CHP,"52,13%","%82,83",248625,242655,300153,5970,2.4
bagcilar,AK Parti,"57,89%","%83,35",415331,396601,498314,18730,4.51
bahcelievler,AK Parti,"49,89%","%82,59",349066,339549,422645,9517,2.73
bakirkoy,CHP,"56,86%","%82,25",138857,135716,168820,3141,2.26
basaksehir,AK Parti,"54,75%","%84,27",222896,215622,264503,7274,3.26
bayrampasa,AK Parti,"49,29%","%85,20",168680,163770,197991,4910,2.91
besiktas,CHP,"73,06%","%81,38",113666,110665,139673,3001,2.64
beykoz,AK Parti,"49,16%","%86,14",157173,152173,182454,5000,3.18
beylikduzu,CHP,"56,33%","%85,11",194108,190497,228079,3611,1.86
beyoglu,AK Parti,"49,86%","%80,80",134944,130679,167012,4265,3.16
buyukcekmece,CHP,"50,34%","%84,77",148068,144733,174661,3335,2.25
catalca,AK Parti,"51,75%","%88,86",50532,48697,56868,1835,3.63
cekmekoy,AK Parti,"42,92%","%86,88",149820,144763,172439,5057,3.38
esenler,AK Parti,"65,48%","%83,86",257467,245928,307019,11539,4.48
esenyurt,CHP,"51,55%","%81,92",456008,440614,556619,15394,3.38
eyupsultan,AK Parti,"49,11%","%84,81",235057,228724,277158,6333,2.69
fatih,AK Parti,"53,03%","%80,01",222541,214923,278133,7618,3.42
gaziosmanpasa,AK Parti,"52,21%","%82,84",284912,275040,343917,9872,3.46
gungoren,AK Parti,"53,78%","%82,60",171597,166275,207741,5322,3.1
kadikoy,CHP,"65,99%","%83,58",311224,305553,372371,5671,1.82
kagithane,AK Parti,"54,40%","%82,43",260420,249572,315945,10848,4.17
kartal,CHP,"51,17%","%85,56",296036,288429,346014,7607,2.57
kucukcekmece,CHP,"50,97%","%83,78",452324,439121,539925,13203,2.92
maltepe,CHP,"52,74%","%83,41",309716,298522,371304,11194,3.61
pendik,AK Parti,"54,76%","%83,98",410625,398210,488959,12415,3.02
sancaktepe,AK Parti,"49,88%","%85,66",237928,229766,277747,8162,3.43
sariyer,CHP,"55,97%","%84,46",210512,205145,249257,5367,2.55
sile,AK Parti,"54,37%","%89,50",26210,25163,29285,1047,3.99
silivri,MHP,"46,78%","%82,12",105063,99906,127937,5157,4.91
sisli,CHP,"48,49%","%80,88",164755,159279,203711,5476,3.32
sultanbeyli,AK Parti,"59,04%","%84,85",180502,171615,212729,8887,4.92
sultangazi,AK Parti,"58,52%","%85,12",296906,286349,348829,10557,3.56
tuzla,AK Parti,"50,52%","%85,18",151121,146925,177421,4196,2.78
umraniye,AK Parti,"54,57%","%84,10",407951,395585,485055,12366,3.03
uskudar,AK Parti,"48,25%","%84,56",340340,330198,402474,10142,2.98
zeytinburnu,AK Parti,"50,42%","%82,00",154871,150496,188860,4375,2.82
